Population,Garden,Growth,Offset,Offset_sigma,rawClimDist,rawClimDist_sigma
OCT,VT,26.5344676709012,0.286755055189133,1.51409915308345,9.01481406622895,2.05809993407518
OKE,MD,27.1790960325088,0.318685531616211,1.71448585515239,12.2208545026777,2.67679607530341
OKE,NC,23.1769804036529,0.396415323019028,2.69946617533831,19.7675497270152,4.42073267728804
OKE,VT,27.8048284867266,0.29531329870224,1.57962346376191,12.9806534462547,2.85059421809017
OWL,MD,31.2634196233671,0.316159009933472,1.69552642936391,9.85042540624167,2.20208497355161
OWL,NC,24.0465133698643,0.393608927726746,2.65975505047448,17.784329868926,3.87875349942789
OWL,VT,27.7465337486937,0.292249411344528,1.55842255367712,10.1874309446882,2.26604938060493
PRK,MD,29.9762874781875,0.068880170583725,0.944970748498665,8.72803463425734,2.01010103787987
PRK,NC,24.54638827709,0.103828407824039,1.11247413889987,15.8118096252674,3.39614118686071
PRK,VT,26.88200854146,0.175920113921165,1.27056863847113,10.9868825720012,2.41934877335769
PRO,MD,29.021405196981,0.31557896733284,1.69131040217367,9.83652430844581,2.19955043803722
PRO,NC,27.3066487870819,0.392897248268127,2.6497520876935,17.4874498634261,3.80514680638308
PRO,VT,29.2618311821129,0.291930437088013,1.55596644450823,10.4671971045692,2.31964803831162
RP,MD,31.7067673399246,0.073716901242733,0.980610417382707,11.9350387699582,2.6104469159271
RP,NC,25.9824618219187,0.101321868598461,1.10353696947675,16.9306952571576,3.6669027863557
RP,VT,29.6378644771027,0.181072592735291,1.27601241648901,14.5536094512203,3.16747168314134
SAV,MD,30.6703371370149,0.306186974048615,1.63424644065001,8.95578221766847,2.04826718900836
SAV,NC,25.2994319108491,0.380403906106949,2.48254039379196,16.7120692980844,3.61227322504474
SAV,VT,26.3513458309902,0.290058881044388,1.54093141583505,10.0782518483803,2.24512945491357
SPR,MD,34.5615651792076,0.0590993016958237,0.852275014392091,7.0731461582883,1.67097942667107
SPR,NC,28.6898246353326,0.141048237681389,1.23164123207705,14.926077076714,3.24015298950856
SPR,VT,31.5395957950583,0.126366883516312,1.20171993367044,8.2565633385513,1.92614122293234
TWI,MD,26.2035996364007,0.311228692531586,1.66360698068167,9.64269249562583,2.16447774276077
TWI,NC,22.299667843205,0.386695772409439,2.56420471087025,17.3419323954273,3.77103034705496
TWI,VT,26.1971565928997,0.292639702558517,1.56140090936404,11.0018894649398,2.42224028164481
WA,MD,28.0656750657345,0.0723624154925346,0.971560605996657,5.33877370433429,1.21694231303104
WA,NC,22.1021547428149,0.0703732147812843,0.956999938135098,11.0824958221031,2.43807199004938
WA,VT,28.2182801273021,0.186327025294304,1.28150239529834,8.78808315541843,2.02027225054993
WCA,MD,28.2679812672493,0.268788814544678,1.42488720293044,7.36441055005426,1.73908152816419
