cellindex,x,y,CMD,DD_0,DD18,eFFP,EXT,MAR,MSP,PAS,PET,RH,TD
140466,-67.75,48.49449801,54,1465,30,257,324,119,446,429,530.6115723,63,293
140492,-66.66666667,48.49449801,4,1559,26,256,316,128,509,503,489.5710144,66,295
140493,-66.625,48.49449801,6,1519,28,257,318,120,504,488,493.4138794,66,295
140496,-66.5,48.49449801,2,1530,27,258,317,129,508,497,487.1223755,67,295
140497,-66.45833334,48.49449801,2,1522,28,258,316,121,507,494,485.7636108,67,294
140498,-66.41666667,48.49449801,2,1526,27,258,317,124,509,498,484.401001,67,293
140500,-66.33333334,48.49449801,0,1551,25,257,315,122,515,514,476.3942566,68,293
140502,-66.25,48.49449801,1,1507,28,258,315,129,509,500,480.0606079,68,293
140503,-66.20833334,48.49449801,0,1553,25,257,314,126,517,522,473.4416504,68,293
140511,-65.875,48.49449801,6,1373,35,261,319,116,493,461,491.1895752,69,288
140513,-65.79166667,48.49449801,3,1406,31,260,316,121,500,485,485.2727966,69,287
140514,-65.75,48.49449801,2,1419,30,260,315,121,502,496,482.0829163,69,286
140520,-65.5,48.49449801,4,1354,33,261,317,122,495,491,489.015625,69,283
140521,-65.45833334,48.49449801,14,1264,40,263,321,111,480,451,505.8257446,69,282
140522,-65.41666667,48.49449801,10,1289,37,263,319,126,485,468,500.1280823,69,282
140525,-65.29166667,48.49449801,4,1336,32,261,317,123,495,506,491.4854126,69,282
140526,-65.25,48.49449801,1,1378,29,260,316,126,504,530,483.3565979,69,282
140527,-65.20833334,48.49449801,2,1363,30,261,316,125,502,528,486.0638733,69,283
140528,-65.16666667,48.49449801,1,1366,30,261,317,124,503,533,486.0638733,69,281
140531,-65.04166667,48.49449801,5,1315,33,262,318,123,494,520,495.1763306,69,280
140532,-65,48.49449801,3,1326,31,261,317,126,496,530,492.2147827,69,279
140533,-64.95833334,48.49449801,3,1335,31,261,316,124,498,537,489.015625,69,280
140534,-64.91666667,48.49449801,3,1349,30,261,316,126,498,547,488.531189,69,279
140536,-64.83333334,48.49449801,4,1313,31,261,317,126,490,535,492.4576721,69,279
140539,-64.70833334,48.49449801,12,1260,35,263,319,120,475,514,500.6206055,69,278
140541,-64.625,48.49449801,17,1214,39,264,322,122,462,489,509.3029175,69,277
141189,-75.00000001,48.45283134,28,1867,44,259,337,129,534,384,530.0731201,59,337
141248,-72.54166667,48.45283134,61,1696,73,262,350,127,472,331,552.9976196,61,339
141289,-70.83333334,48.45283134,44,1598,69,262,348,126,501,337,554.3081055,62,331
141369,-67.5,48.45283134,39,1525,31,256,326,122,472,451,531.6967163,62,298
141374,-67.29166667,48.45283134,33,1523,32,256,327,127,484,454,533.3886719,62,299
141390,-66.625,48.45283134,3,1577,26,256,317,122,514,513,489.8957214,66,296
141391,-66.58333334,48.45283134,4,1537,28,257,319,126,508,497,493.9645081,66,296
141392,-66.54166667,48.45283134,3,1521,28,258,318,116,507,491,491.7263184,66,295
141393,-66.5,48.45283134,1,1554,26,257,317,126,512,508,486.690979,67,295
141394,-66.45833334,48.45283134,0,1630,22,255,314,127,525,546,472.7901611,67,296
141399,-66.25,48.45283134,0,1562,25,257,314,122,518,526,476.7102356,68,294
141407,-65.91666667,48.45283134,1,1453,30,259,317,126,507,499,482.7658386,69,290
141411,-65.75,48.45283134,2,1416,31,260,317,128,503,497,486.3117676,69,287
141415,-65.58333334,48.45283134,4,1359,33,261,317,129,497,487,490.7912903,69,285
141419,-65.41666667,48.45283134,6,1328,35,261,319,119,494,491,496.2365112,69,283
141421,-65.33333334,48.45283134,7,1317,35,262,319,124,494,494,495.5047607,69,282
141423,-65.25,48.45283134,5,1317,33,262,318,126,494,504,495.7487793,69,281
141429,-65,48.45283134,10,1257,37,263,320,122,487,501,503.9273682,69,279
141431,-64.91666667,48.45283134,4,1305,33,262,318,125,495,532,495.0163269,69,279
141437,-64.66666667,48.45283134,15,1209,39,264,322,124,468,492,509.3913269,69,277
141439,-64.58333334,48.45283134,23,1146,45,265,324,124,452,464,520.3469849,69,276
141442,-64.45833334,48.45283134,24,1134,45,265,323,123,445,460,519.0762939,69,275
142152,-72.25,48.41116468,55,1651,74,263,347,128,462,324,549.0263062,62,336
142193,-70.54166667,48.41116468,30,1631,57,261,341,124,511,376,537.9460449,63,326
142194,-70.5,48.41116468,25,1647,53,260,339,123,515,385,530.956604,63,326
142203,-70.125,48.41116468,3,1870,27,254,321,124,551,503,480.1022034,63,322
142268,-67.41666667,48.41116468,60,1401,41,258,333,126,458,403,558.1140137,62,297
142288,-66.58333334,48.41116468,8,1507,30,258,320,127,503,483,501.9452515,66,296
142289,-66.54166667,48.41116468,4,1545,28,257,319,116,510,503,491.2590637,66,296
142290,-66.5,48.41116468,10,1465,33,259,321,128,498,469,503.0439453,66,295
142292,-66.41666667,48.41116468,0,1592,25,256,315,126,521,530,480.7753296,67,296
142293,-66.375,48.41116468,0,1574,25,257,316,124,519,526,479.6611328,67,295
142294,-66.33333334,48.41116468,1,1541,28,258,317,124,514,511,483.6352539,67,295
142312,-65.58333334,48.41116468,4,1354,36,261,320,121,499,486,494.809906,69,285
142322,-65.16666667,48.41116468,2,1341,32,261,317,121,504,531,493.5968323,69,281
142325,-65.04166667,48.41116468,8,1275,37,263,320,125,494,511,503.0067444,69,279
142326,-65,48.41116468,13,1224,41,264,323,123,486,489,510.9754028,69,279
142328,-64.91666667,48.41116468,11,1250,38,263,321,124,488,508,505.9902649,69,278
142332,-64.75,48.41116468,13,1226,39,263,322,125,477,503,509.978363,69,277
142334,-64.66666667,48.41116468,18,1196,42,264,324,123,467,490,513.2177124,69,276
143035,-72.83333334,48.36949801,47,1769,59,259,347,127,497,367,545.2388916,60,338
143043,-72.5,48.36949801,52,1691,71,262,349,128,480,342,551.8145752,61,338
143048,-72.29166667,48.36949801,52,1658,73,263,347,129,469,332,548.1488647,62,336
